Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:33.8,00:31.0,0.13,7,0,0:04:28,0:04:06,0:02:01,158.203125,210,227.2305392,--,--,59,11
2,01:30.7,01:04.0,0.05,0,3,0:29:27,0:20:48,0:04:10,22.3125,210,244.8713245,--,--,58.11267606,4
3,00:33.0,00:30.0,0.13,13,7,0:04:12,0:03:49,0:03:53,180.265625,213,212.1015217,--,--,57.2,11
4,01:33.2,00:42.0,0.05,0,10,0:33:57,0:15:18,0:03:58,38.78125,213,122.2566479,--,--,55.98,4
5,00:33.0,00:32.0,0.12,7,0,0:04:26,0:04:18,0:03:41,181.9375,225,199.316542,--,--,55.4,11
6,01:34.5,01:26.0,0.06,3,7,0:26:36,0:24:13,0:04:07,40.25,212,150.2147313,--,--,54.4372093,6
7,00:32.2,00:32.0,0.13,10,3,0:03:59,0:03:57,0:03:42,188.640625,221,213.9188487,--,--,53.6,11
8,05:10.4,04:03.0,0.19,0,7,0:26:52,0:21:03,0:03:50,56.140625,221,106.6447972,--,--,54.07840532,19
9,00:31.3,00:26.0,0.12,13,0,0:04:16,0:03:32,0:03:34,0,0,--,--,--,53.6,10
10,01:31.3,01:28.0,0.06,0,7,0:24:06,0:23:13,0:03:59,22.390625,146,298.2685823,--,--,53.6,6
11,00:33.6,00:31.0,0.14,7,0,0:03:57,0:03:42,0:03:17,208.1875,256,195.0807582,--,--,53.6,11
12,01:30.9,01:13.0,0.03,0,10,0:44:07,0:35:27,0:03:51,51.390625,219,70.96014346,--,--,53.6,3
13,00:32.3,00:31.0,0.13,7,0,0:04:12,0:04:02,0:03:42,172.40625,226,221.6739971,--,--,52.90322581,10
14,02:23.2,02:18.0,0.11,3,3,0:21:50,0:21:03,0:03:52,79.15625,219,93.05778977,--,--,51.8,10
15,00:31.2,00:28.0,0.13,13,3,0:03:56,0:03:32,0:03:19,108.875,225,375.0166527,--,--,51.8,10
16,00:45.4,00:37.0,0.04,0,10,0:20:41,0:16:52,0:03:44,68.6875,225,113.2552887,--,--,51.8,4
Summary,20:19.3,17:49.0,1.63,82,69,0:12:29,0:10:56,0:02:01,73.46875,256,152.9399315,--,--,54.23147541,141
Average,00:32.6,,,,,,,,,,,,,,
