Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:30.9,00:10.0,0.03,--,--,0:17:08,0:05:32,0:04:17,53.671875,210,174.9007927,129,143,--,4
2,01:00.9,00:30.0,0.05,--,--,0:20:11,0:09:56,0:04:34,82.078125,204,97.15671221,109,144,--,8
3,00:31.1,00:30.0,0.1,--,--,0:05:27,0:05:15,0:04:08,163.734375,211,180.3268619,104,118,--,2
4,01:03.6,00:26.0,0.03,--,--,0:33:29,0:13:48,0:04:29,50.421875,209,95.31074647,100,132,--,6
5,00:30.4,00:29.0,0.08,--,--,0:06:08,0:05:51,0:04:09,155.0625,213,168.8873539,121,163,--,3
6,01:06.3,00:35.0,0.04,--,--,0:25:20,0:13:22,0:04:29,63.625,206,99.83938374,142,164,--,13
7,00:30.6,00:14.0,0.06,--,--,0:08:46,0:04:00,0:04:09,109.734375,213,167.3265066,141,151,--,5
8,01:01.5,00:04.0,0.04,9,--,0:25:17,0:01:38,0:04:11,54.296875,213,117.2601088,137,153,--,12
9,00:31.3,00:17.0,0.07,--,--,0:07:25,0:04:02,0:04:09,122.1875,212,177.4125288,149,176,--,5
10,01:02.6,00:31.0,0.05,--,--,0:20:37,0:10:13,0:04:14,78.25,208,99.74423997,168,181,--,15
11,00:30.3,00:27.0,0.08,--,2,0:06:02,0:05:22,0:04:12,155.5,207,171.2453879,176,188,--,7
12,05:35.3,01:56.0,0.09,--,2,1:00:50,0:21:03,0:04:18,32.8125,207,80.58910612,131,189,--,52
13,00:28.7,00:20.0,0.01,--,--,0:49:57,0:34:47,0:18:12,4.03125,121,799.3694902,131,138,--,4
14,00:31.4,00:28.0,0.08,--,--,0:06:56,0:06:10,0:03:58,166.9375,218,138.9996332,171,215,--,6
15,01:08.6,00:32.0,0.04,--,12,0:30:25,0:14:11,0:07:11,92.234375,213,57.38792877,208,215,--,19
16,00:30.9,00:27.0,0.07,--,--,0:07:48,0:06:49,0:04:06,108,124,190.9008842,201,203,--,8
17,01:19.1,00:36.0,0.05,19,--,0:25:52,0:11:46,0:08:33,71.8125,124,86.63764626,185,201,--,21
18,00:31.1,00:26.0,0.09,--,--,0:06:02,0:05:02,0:02:05,194.609375,214,136.8318318,154,176,--,6
19,01:15.7,00:49.0,0.04,--,8,0:29:11,0:19:03,0:04:32,76.875,211,71.71904251,167,178,--,17
20,00:30.6,00:23.0,0.08,--,--,0:06:37,0:04:58,0:03:08,153.03125,218,158.7178626,181,203,--,7
21,01:13.6,00:24.0,0.04,--,--,0:32:17,0:10:36,0:04:11,52.125,214,95.68299218,164,202,--,17
22,00:30.8,00:24.0,0.06,--,--,0:08:05,0:06:17,0:02:36,178.84375,223,111.2564599,122,143,--,2
23,01:19.7,00:57.0,0.04,--,15,0:30:41,0:21:57,0:06:40,58.796875,209,89.17358669,113,145,--,7
24,00:29.8,00:27.0,0.07,10,--,0:07:20,0:06:39,0:03:16,200.703125,236,109.2358082,132,164,--,2
25,00:20.8,00:18.0,0.03,--,--,0:11:48,0:10:12,0:03:50,108.359375,236,125.7122824,175,176,--,5
Summary,24:04.8,12:40.0,1.42,37,38,0:17:00,0:08:57,0:02:05,79.1875,236,119.4876472,145,215,--,253
Average,00:30.8,,,,,,,,,,,,,,
