Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:29.0,00:24.0,0.12,7,0,0:04:02,0:03:21,0:03:29,113.28125,219,350.8743821,--,--,68,9
2,01:30.4,00:59.0,0.07,0,3,0:20:40,0:13:29,0:03:50,56.421875,219,137.9969514,--,--,68,8
3,00:31.0,00:30.0,0.12,3,0,0:04:09,0:04:01,0:03:34,67.484375,210,574.5775601,--,--,68,10
4,01:35.2,01:33.0,0.07,0,3,0:22:22,0:21:51,0:03:59,62.140625,206,115.8061656,--,--,68,7
5,00:30.2,00:27.0,0.12,7,0,0:04:09,0:03:43,0:03:40,193.828125,221,199.372519,--,--,68,9
6,01:32.2,00:45.0,0.08,0,10,0:19:12,0:09:22,0:03:43,77.078125,214,108.7746089,--,--,66.82,8
7,00:30.5,00:24.0,0.12,10,0,0:04:08,0:03:15,0:03:40,157.84375,219,246.2784526,--,--,67.73333333,9
8,01:30.5,01:20.0,0.08,0,10,0:19:11,0:16:57,0:03:59,67.578125,207,124.1081707,--,--,66.2,9
9,00:29.4,00:28.0,0.13,3,0,0:03:53,0:03:41,0:03:31,206,232,201.212989,--,--,66.2,9
10,05:07.9,05:03.0,0.25,3,7,0:20:47,0:20:28,0:03:35,82.21875,221,94.13955473,--,--,65.70693069,27
11,00:30.4,00:28.0,0.12,7,7,0:04:15,0:03:55,0:03:44,152.203125,221,248.6946882,--,--,66.2,9
12,01:38.5,01:22.0,0.08,0,0,0:20:07,0:16:44,0:03:51,76.265625,210,104.9039941,--,--,66.2,8
13,00:31.7,00:29.0,0.12,3,0,0:04:21,0:03:58,0:03:46,142.328125,212,259.5632408,--,--,66.2,10
14,01:34.2,01:34.0,0.05,0,0,0:29:04,0:29:01,0:04:02,40.484375,204,136.7739217,--,--,66.2,5
15,00:30.2,00:29.0,0.12,13,13,0:04:12,0:04:01,0:03:46,175.5625,223,218.2462581,--,--,66.2,9
16,02:19.8,02:09.0,0.12,0,0,0:19:40,0:18:09,0:03:46,38.46875,216,212.715294,--,--,66.2,10
Summary,20:51.1,19:52.0,1.78,56,52,0:11:43,0:11:10,0:03:29,81.984375,232,157.0724933,--,--,66.55798722,156
Average,00:30.3,,,,,,,,,,,,,,
