Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:30.2,00:23.0,0.04,7,3,0:13:35,0:10:21,0:06:00,155.53125,219,76.16040465,--,--,80.6,5
2,01:30.5,01:25.0,0.04,0,0,0:33:34,0:31:33,0:06:34,97.859375,191,48.98112658,--,--,80.45176471,8
3,00:31.8,00:30.0,0.06,16,10,0:09:14,0:08:42,0:06:44,36.5625,195,476.3520037,--,--,78.8,4
4,01:30.9,01:25.0,0.05,3,10,0:30:06,0:28:09,0:06:54,90.65625,204,58.95839427,--,--,78.8,8
5,00:31.4,00:22.0,0.05,7,3,0:10:36,0:07:26,0:07:28,175.03125,212,86.73492534,--,--,78.39090909,4
6,01:40.6,01:00.0,0.05,0,3,0:30:50,0:18:23,0:06:27,75.96875,206,68.67642061,--,--,77,7
7,00:30.6,00:11.0,0.05,3,0,0:10:05,0:03:37,0:08:03,180.125,219,88.5582201,--,--,77,0
8,05:01.8,01:54.0,0.16,0,7,0:31:11,0:11:46,0:06:48,63.859375,207,80.84152701,--,--,76.32661871,14
9,00:28.7,00:14.0,0.04,0,0,0:11:29,0:05:36,0:06:58,210,245,66.65538476,--,--,77,1
10,01:33.7,00:47.0,0.05,3,3,0:28:30,0:14:17,0:07:02,73.734375,223,76.60480201,--,--,75.9425,6
11,00:30.2,00:22.0,0.05,7,0,0:09:40,0:07:03,0:05:21,212.03125,255,78.46146375,--,--,75.2,6
12,01:45.5,01:07.0,0.08,0,3,0:22:10,0:14:05,0:08:25,97.703125,195,74.30344687,--,--,74.47307692,7
13,00:31.4,00:17.0,0.04,3,0,0:12:46,0:06:54,0:05:45,151.265625,209,83.31927365,--,--,73.4,4
14,01:30.8,01:23.0,0.08,0,3,0:18:08,0:16:34,0:06:34,47.53125,207,186.7453394,--,--,73.92048193,9
15,00:31.5,00:21.0,0.05,0,0,0:11:36,0:07:45,0:05:29,170.09375,223,81.51609247,--,--,73.4,4
16,00:40.2,00:29.0,0.05,0,0,0:14:37,0:10:32,0:07:46,75.546875,209,145.6872694,--,--,73.4,5
Summary,19:19.8,13:04.0,0.95,49,46,0:20:23,0:13:46,0:05:21,92.890625,255,95.96206771,--,--,76.48327586,92
Average,00:30.7,,,,,,,,,,,,,,
