Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,06:48.5,05:24.0,0.57,--,--,0:11:54,0:09:26,0:07:47,119.296875,168,113.3518775,128,149,--,70
2,00:34.5,00:34.0,0.1,--,--,0:05:44,0:05:40,0:04:22,168.515625,194,166.3082505,113,141,--,3
3,02:07.8,00:40.0,0.09,--,--,0:23:37,0:07:23,0:05:11,71.25,186,95.6726683,138,149,--,25
4,00:32.7,00:25.0,0.09,--,--,0:06:00,0:04:35,0:04:25,157.1875,202,170.2383005,151,174,--,6
5,01:59.7,00:24.0,0.03,--,--,1:01:06,0:12:16,0:04:31,25.34375,201,103.8390714,147,176,--,25
6,00:31.0,00:29.0,0.1,--,--,0:05:07,0:04:47,0:04:10,175.578125,204,178.9952491,161,175,--,6
7,02:07.4,00:26.0,0.04,--,--,0:54:51,0:11:11,0:04:11,29.265625,204,100.3420257,138,175,--,23
8,00:32.7,00:25.0,0.09,--,--,0:05:43,0:04:27,0:04:30,155.453125,197,180.9610704,153,168,--,6
9,01:59.7,00:26.0,0.04,--,--,0:52:11,0:11:20,0:04:34,32.796875,188,94.02412327,140,170,--,22
10,00:30.2,00:28.0,0.1,--,--,0:05:15,0:04:52,0:04:04,168.234375,209,182.157929,148,179,--,4
11,01:59.8,00:28.0,0.04,--,--,0:49:24,0:11:33,0:04:04,29.6875,207,109.7642445,174,186,--,30
12,00:29.2,00:26.0,0.07,--,--,0:06:43,0:05:59,0:04:01,124.859375,221,191.6263168,164,186,--,6
13,02:08.1,00:24.0,0.05,--,--,0:43:41,0:08:11,0:03:33,31.921875,221,115.4115484,173,188,--,32
14,00:32.6,00:32.0,0.1,--,--,0:05:27,0:05:21,0:04:07,157.515625,209,187.2535346,171,182,--,7
15,02:20.2,00:08.0,0.04,--,--,0:54:12,0:03:05,0:04:18,30.21875,209,98.32628902,147,183,--,27
16,00:30.7,00:28.0,0.1,--,--,0:05:04,0:04:37,0:03:29,161.15625,220,197.1414107,156,182,--,5
17,00:24.8,00:08.0,0.04,--,--,0:11:05,0:03:35,0:03:33,108.765625,221,133.4114502,186,192,--,7
Summary,26:08.8,12:15.0,1.7,--,--,0:15:25,0:07:13,0:03:29,78.703125,221,132.5848533,146,192,--,304
Average,00:31.7,,,,,,,,,,,,,,
