Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:03:15.605,00:03:11.00,0.62,20,16,0:05:14  ,0:05:07  ,0:04:29  ,0.0,0.0,--,--,--,83.50412371134021,70
2,00:03:16.881,00:00:59.00,0.1,0,0,0:31:49  ,0:09:32  ,0:05:13  ,0.0,0.0,--,--,--,82.4,9
3,00:03:15.850,00:03:12.00,0.62,20,16,0:05:15  ,0:05:09  ,0:04:44  ,0.0,0.0,--,--,--,79.71875,71
4,00:03:17.703,00:01:46.00,0.12,3,7,0:26:35  ,0:14:15  ,0:05:06  ,0.0,0.0,--,--,--,79.3364238410596,12
5,00:03:14.705,00:03:10.00,0.62,16,16,0:05:13  ,0:05:06  ,0:04:42  ,0.0,0.0,--,--,--,80.01263157894736,71
6,00:03:21.845,00:01:54.00,0.12,0,3,0:28:28  ,0:16:05  ,0:05:09  ,0.0,0.0,--,--,--,79.8534090909091,11
7,00:03:15.678,00:03:13.00,0.63,23,23,0:05:10  ,0:05:05  ,0:04:05  ,0.0,0.0,--,--,--,81.81243523316061,71
8,00:03:24.772,00:01:49.00,0.12,0,0,0:27:46  ,0:14:47  ,0:05:05  ,0.0,0.0,--,--,--,81.92,11
9,00:03:14.372,00:03:10.00,0.63,20,20,0:05:06  ,0:04:59  ,0:04:21  ,0.0,0.0,--,--,--,82.80736842105263,71
10,00:03:20.651,00:00:39.00,0.11,0,0,0:31:05  ,0:06:02  ,0:04:55  ,0.0,0.0,--,--,--,82.48470588235294,10
11,00:03:13.982,00:03:10.00,0.63,16,13,0:05:05  ,0:04:59  ,0:04:31  ,0.0,0.0,--,--,--,81.80315789473684,71
12,00:03:27.114,00:01:26.00,0.11,3,7,0:30:20  ,0:12:36  ,0:05:03  ,0.0,0.0,--,--,--,80.7958549222798,10
13,00:03:11.392,00:03:10.00,0.64,13,13,0:05:00  ,0:04:58  ,0:04:19  ,0.0,0.0,--,--,--,81.55684210526316,70
14,00:03:22.32,00:01:32.00,0.12,0,3,0:27:51  ,0:12:40  ,0:04:56  ,0.0,0.0,--,--,--,81.00999999999999,10
15,00:03:01.664,00:03:00.00,0.63,20,13,0:04:48  ,0:04:46  ,0:03:57  ,0.0,0.0,--,--,--,81.52000000000001,66
16,00:04:01.805,00:02:46.00,0.14,0,3,0:29:13  ,0:20:03  ,0:03:57  ,0.0,0.0,--,--,--,81.11206896551724,12
Summary,00:53:16.51,00:38:31.00,5.98,154,154,0:08:54  ,0:06:26  ,0:03:57  ,0.0,0.0,--,--,--,81.41495619524406,646
