Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:03:16.708,00:03:12.00,0.61,9,16,0:05:24  ,0:05:17  ,0:04:29  ,181.03125,197.0,164.24127844630726,153.0,168.0,--,45
2,00:03:14.88,00:01:24.00,0.16,6,--,0:20:33  ,0:08:53  ,0:05:17  ,80.78125,186.0,96.93040663692895,118.0,153.0,--,30
3,00:03:19.163,00:03:19.00,0.62,14,21,0:05:19  ,0:05:18  ,0:04:13  ,183.1875,195.0,165.1702555588582,153.0,162.0,--,45
4,00:03:14.421,00:01:44.00,0.16,8,--,0:20:25  ,0:10:55  ,0:04:59  ,100.578125,186.0,78.39320973407007,128.0,149.0,--,32
5,00:01:50.957,00:01:44.00,0.35,13,--,0:05:21  ,0:05:01  ,0:04:26  ,180.984375,197.0,166.15604737741057,173.0,186.0,--,29
Summary,00:14:55.337,00:11:23.00,1.89,50,37,0:07:53  ,0:06:01  ,0:04:13  ,142.34375,197.0,143.30959204778424,143.0,186.0,--,181
