Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:51.137,00:05:51.137,1,102,98,0:05:51  ,0:05:51  ,0:04:09  ,0.0,0.0,--,--,--,66.52727272727273,116
2,00:06:06.461,00:06:01.00,1,85,92,0:06:06  ,0:06:01  ,0:05:03  ,0.0,0.0,--,--,--,64.23545706371192,115
3,00:05:48.69,00:05:48.00,1,36,75,0:05:48  ,0:05:48  ,0:04:37  ,0.0,0.0,--,--,--,66.2,114
4,00:00:38.492,00:00:36.00,0.14,26,0,0:04:33  ,0:04:15  ,0:03:28  ,0.0,0.0,--,--,--,66.2,14
Summary,00:18:24.159,00:18:25.00,3.14,249,266,0:05:51  ,0:05:51  ,0:03:28  ,0.0,0.0,--,--,--,65.66081447963802,359
