Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:44.17,00:05:43.00,1,69,62,0:05:44  ,0:05:43  ,0:04:10  ,0.0,0.0,--,--,--,77.5667638483965,113
2,00:05:46.341,00:05:43.00,0.97,62,66,0:05:58  ,0:05:55  ,0:04:51  ,0.0,0.0,--,--,--,75.56209912536443,112
3,00:06:02.01,00:06:00.00,1,85,16,0:06:02  ,0:06:00  ,0:04:56  ,0.0,0.0,--,--,--,78.41,116
4,00:05:25.683,00:05:24.00,0.98,13,82,0:05:33  ,0:05:31  ,0:04:44  ,0.0,0.0,--,--,--,78.97777777777779,112
Summary,00:28:55.00,00:22:58.00,4.97,230,226,0:05:49  ,0:04:37  ,0:04:10  ,175.0,190.0,--,--,--,77.62046444121916,453
