Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:46.942,00:05:44.00,1,37,26,0:05:47  ,0:05:44  ,0:04:40  ,174.421875,188.0,159.56731490977154,144.0,164.0,--,75
2,00:05:45.529,00:05:44.00,1,47,67,0:05:45  ,0:05:44  ,0:04:52  ,173.9375,181.0,160.66601856053646,107.0,129.0,--,37
3,00:05:30.193,00:05:30.00,1,80,79,0:05:30  ,0:05:30  ,0:04:04  ,177.078125,201.0,165.14635027413837,101.0,128.0,--,28
4,00:00:00.818,--,0.01,--,--,0:02:32  ,--,0:04:18  ,196.0,196.0,323.711370011926,89.0,89.0,--,0
Summary,00:17:11.00,00:16:58.00,3.12,164,172,0:05:30  ,0:05:26  ,0:04:04  ,175.0,201.0,161.8949554761722,118.0,164.0,--,140
