Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:22.2,00:18.0,0.09,0,0,0:03:22,0:03:15,0:02:54,226.109375,230,210.6628724,--,--,77,7
2,00:42.4,00:07.0,0.02,3,3,0:29:21,0:04:50,0:04:03,56.765625,216,96.57853824,--,--,77,2
3,00:22.2,00:19.0,0.09,7,0,0:04:13,0:03:38,0:03:06,181.453125,227,210.1126414,--,--,77,6
4,01:06.8,00:04.0,0.03,0,3,0:40:06,0:02:24,0:03:35,36.3125,221,110.5063498,--,--,77,2
5,00:22.5,00:19.0,0.08,0,0,0:04:40,0:03:56,0:03:19,173.6875,235,198.4727288,--,--,77,6
6,01:00.2,00:10.0,0.04,0,0,0:24:56,0:04:08,0:03:40,56.734375,216,113.7770842,--,--,77,4
7,00:21.8,00:18.0,0.06,3,3,0:06:05,0:05:01,0:04:47,132.375,139,199.5232456,--,--,75.2,7
8,01:09.8,00:08.0,0.02,0,0,1:01:23,0:07:02,0:05:20,30.3125,139,86.54118717,--,--,75.2,2
9,00:21.4,00:20.0,0.07,0,0,0:04:59,0:04:39,0:02:46,147.359375,233,219.1550541,--,--,75.2,4
10,05:01.2,04:24.0,0.15,0,10,0:32:52,0:28:48,0:03:04,61.3125,244,79.89331768,--,--,74.83368421,15
11,00:22.8,00:19.0,0.06,3,0,0:06:25,0:05:21,0:05:31,116.703125,122,214.7297096,--,--,75.2,6
12,01:00.3,00:48.0,0.02,0,0,0:54:12,0:43:05,0:07:28,38.171875,122,77.8676663,--,--,73.475,1
13,00:21.2,00:19.0,0.08,0,3,0:04:12,0:03:46,0:03:21,165.328125,224,231.2479717,--,--,73.4,7
14,01:02.7,00:36.0,0.04,7,3,0:24:43,0:14:12,0:03:25,76.609375,224,84.96980691,--,--,73.4,4
15,00:21.6,00:20.0,0.09,7,0,0:04:13,0:03:54,0:02:42,182.578125,232,209.0233567,--,--,73.4,5
16,01:01.3,00:04.0,0.03,0,3,0:31:42,0:02:04,0:03:04,59.484375,232,85.29149556,--,--,73.4,2
17,00:21.6,--,0.01,0,0,1:05:55,--,0:03:03,21.625,227,113.0193182,--,--,--,0
18,01:00.6,00:41.0,0.03,3,3,0:29:50,0:20:11,0:03:00,59.0625,227,91.37455933,--,--,73.4,2
19,00:20.4,00:19.0,0.07,7,0,0:04:54,0:04:34,0:02:32,125,238,262.1323247,--,--,71.6,5
20,01:06.3,00:03.0,0.03,0,3,0:35:37,0:01:36,0:02:36,41.828125,233,107.9568548,--,--,71.6,2
Summary,17:45.4,11:34.0,1.12,39,36,0:15:55,0:10:22,0:02:32,72.328125,244,113.1190969,--,--,74.64953096,89
