Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:16:14.630,00:16:09.00,1.99,8,--,0:08:09  ,0:08:06  ,0:07:36  ,163.390625,173.0,120.74194861996052,156.0,177.0,--,224
2,00:20:00.255,00:19:57.00,3.22,15,5,0:06:13  ,0:06:12  ,0:04:55  ,172.546875,184.0,149.95027862131428,172.0,190.0,--,311
3,00:02:43.175,00:02:15.00,0.11,--,--,0:24:06  ,0:19:56  ,0:05:41  ,60.0,167.0,111.2854254277487,139.0,168.0,--,20
4,00:17:37.680,00:17:36.00,1.95,12,29,0:09:02  ,0:09:01  ,0:08:30  ,161.390625,169.0,110.3253613034634,143.0,160.0,--,152
Summary,00:56:35.740,00:55:57.00,7.27,34,34,0:07:47  ,0:07:41  ,0:04:55  ,161.015625,184.0,128.399039326098,157.0,190.0,--,707
