Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:53.777,00:05:48.00,0.99,95,--,0:05:59  ,0:05:53  ,0:04:58  ,175.328125,200.0,153.34726898040913,168.0,190.0,--,85
2,00:01:06.905,00:00:14.00,0.03,14,--,0:34:26  ,0:07:12  ,0:05:39  ,47.453125,179.0,98.44240700319635,173.0,193.0,--,17
3,00:05:16.777,00:05:15.00,0.89,--,94,0:05:56  ,0:05:54  ,0:05:35  ,171.140625,182.0,158.29992841186498,183.0,201.0,--,86
4,00:01:06.725,00:00:17.00,0.04,--,16,0:30:56  ,0:07:53  ,0:06:00  ,65.171875,170.0,79.80511861462641,156.0,171.0,--,15
5,00:05:49.929,00:05:48.00,0.98,108,--,0:05:55  ,0:05:53  ,0:05:22  ,174.53125,185.0,155.57439814406803,174.0,188.0,--,90
6,00:01:07.322,00:00:10.00,0.03,--,--,0:36:45  ,0:05:27  ,0:05:46  ,40.375,178.0,108.51595266886514,155.0,174.0,--,14
7,00:05:18.115,00:05:14.00,0.98,--,96,0:05:24  ,0:05:20  ,0:04:54  ,171.8125,186.0,173.27351753917623,165.0,175.0,--,74
8,00:00:14.735,00:00:10.00,0.02,--,--,0:12:55  ,0:08:46  ,0:05:14  ,105.5625,188.0,118.03556556864699,136.0,147.0,--,2
Summary,00:25:54.285,00:22:56.00,3.96,216,206,0:06:32  ,0:05:47  ,0:04:54  ,156.640625,200.0,156.91729421028217,171.0,201.0,--,383
