Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:06:12.529,00:06:12.00,1,4,25,0:06:12  ,0:06:12  ,0:05:24  ,170.625,180.0,151.9144224342786,141.0,155.0,--,76
2,00:00:01.38,--,0,--,--,0:10:44  ,--,--,--,--,--,--,--,--,--
4,00:06:19.983,00:06:12.00,1,39,44,0:06:20  ,0:06:12  ,0:05:11  ,168.9375,178.0,150.42205444751113,146.0,171.0,--,78
5,00:02:09.713,00:01:24.00,0.09,--,--,0:23:32  ,0:15:14  ,0:06:23  ,95.53125,172.0,71.57887643477449,86.0,140.0,--,7
6,00:06:10.330,00:06:05.00,1,42,42,0:06:10  ,0:06:05  ,0:04:41  ,171.09375,180.0,152.3978090952602,130.0,156.0,--,57
7,00:02:05.195,00:01:16.00,0.09,--,--,0:23:44  ,0:14:24  ,0:06:12  ,71.671875,177.0,94.61091970442008,87.0,149.0,--,7
8,00:05:53.105,00:05:43.00,0.99,42,43,0:05:56  ,0:05:46  ,0:05:12  ,171.625,193.0,157.6561094158906,121.0,138.0,--,43
9,00:00:30.141,00:00:07.00,0.02,--,--,0:33:09  ,0:07:42  ,0:05:38  ,36.96875,191.0,131.27816654653063,104.0,121.0,--,2
Summary,00:30:48.331,00:26:59.00,4.27,143,155,0:07:13  ,0:06:19  ,0:04:41  ,153.828125,193.0,144.900505889543,126.0,171.0,--,275
