Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:43.50,00:05:42.00,0.99,33,33,0:05:45  ,0:05:44  ,0:05:06  ,0.0,0.0,--,--,--,81.87894736842105,110
2,00:01:47.54,00:01:37.00,0.06,0,3,0:30:14  ,0:27:25  ,0:05:50  ,0.0,0.0,--,--,--,81.78762886597939,6
3,00:03:28.29,00:03:25.00,0.6,10,13,0:05:46  ,0:05:41  ,0:04:58  ,0.0,0.0,--,--,--,82.4,71
Summary,00:10:58.133,00:10:48.00,1.65,43,49,0:06:38  ,0:06:31  ,0:04:58  ,0.0,0.0,--,--,--,82.03617021276597,187
