Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:50.692,00:05:49.00,0.98,59,56,0:05:59  ,0:05:57  ,0:05:03  ,0.0,0.0,--,--,--,76.73696275071633,113
2,00:01:25.779,00:00:05.00,0.03,0,3,0:41:55  ,0:02:26  ,0:05:54  ,0.0,0.0,--,--,--,74.13734939759036,2
3,00:05:56.465,00:05:54.00,0.98,62,59,0:06:02  ,0:05:59  ,0:05:04  ,0.0,0.0,--,--,--,74.37627118644068,113
4,00:01:25.463,00:00:39.00,0.03,0,7,0:42:07  ,0:19:13  ,0:05:51  ,0.0,0.0,--,--,--,75.95555555555555,2
5,00:05:53.371,00:05:51.00,0.99,72,62,0:05:57  ,0:05:55  ,0:04:44  ,0.0,0.0,--,--,--,76.643059490085,114
6,00:01:40.200,00:01:11.00,0.04,0,3,0:37:12  ,0:26:22  ,0:05:33  ,0.0,0.0,--,--,--,76.7718309859155,4
7,00:05:51.194,00:05:50.00,0.99,69,66,0:05:56  ,0:05:54  ,0:04:58  ,0.0,0.0,--,--,--,77.37028571428571,114
8,00:02:29.251,00:01:54.00,0.11,0,13,0:23:11  ,0:17:42  ,0:05:39  ,0.0,0.0,--,--,--,77.83076923076922,8
Summary,00:30:32.415,00:27:54.00,4.15,262,269,0:07:21  ,0:06:43  ,0:04:44  ,0.0,0.0,--,--,--,76.35545851528384,470
